Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
47	-129.27455	82.897	-1.1136619	-309.60416	-144.189	46.551296	-118.33257	-238.41429	200.0	200.0	187999	-14.181357	49.00125	5.289711	-294.8256	-14.181453	49.001755	5.2093635	-294.66702	-0.21307994	1.0576946	9.990089	-8.270708	14.005363	13.452845	2300.5257680416107
48	-141.6276	98.44002	-1.3218516	-300.03967	-105.92495	79.09762	-0.43768188	-228.01448	200.0	200.0	191999	-13.754538	48.42819	5.6577597	-295.70212	-13.754969	48.428356	5.4917274	-296.1009	-0.2135321	1.0419657	9.269466	-7.8750668	13.576677	12.348401	2344.8901903629303
49	-170.4603	78.81985	-1.5303885	-317.73923	-158.77351	80.99348	-1.1106218	-299.97488	200.0	200.0	195999	-13.519762	47.958775	5.226063	-296.12213	-13.519917	47.95815	5.779621	-292.46396	-0.23397131	1.0397531	10.03519	-9.045896	13.3479	11.610029	2388.106614589691
50	-163.93854	78.03553	-1.4771549	-284.76154	-131.0927	59.907955	-0.6165048	-228.93242	200.0	200.0	199999	-13.407597	47.869892	6.709511	-294.1253	-13.408188	47.870228	6.473099	-293.484	-0.22346644	1.0316826	11.139051	-9.5848255	13.242005	11.046676	2431.3073222637177
51	-153.50229	69.00649	-5.1132574	-302.48413	-162.30006	64.68914	-115.09637	-308.7145	200.0	200.0	203999	-13.47335	48.2034	5.468853	-298.3691	-13.473504	48.20425	5.9627	-295.51486	-0.23115107	1.0192899	11.787348	-7.6756363	13.324501	14.711827	2475.6976022720337
52	-148.97232	92.935425	-1.2998905	-342.29462	-109.3668	82.34388	-1.1611317	-248.61945	200.0	200.0	207999	-13.17171	47.716335	5.7329555	-291.74847	-13.171987	47.71495	5.537072	-293.7259	-0.22731581	1.0400436	10.681499	-9.473815	13.022068	15.0828705	2519.5216825008392
53	-149.03745	80.94407	-1.3978689	-242.52396	-142.96556	69.348724	-0.26676297	-244.80544	200.0	200.0	211999	-12.924181	47.430023	5.77584	-292.11423	-12.923893	47.42928	5.6632233	-294.82523	-0.24251498	1.0146292	10.012828	-8.67608	12.765235	10.753258	2563.086696624756
54	-118.92815	72.24211	-1.5308614	-235.7402	-164.856	54.64459	-115.39459	-241.37543	200.0	200.0	215999	-12.768904	47.0555	5.2443557	-292.47916	-12.768914	47.0547	5.409663	-291.59244	-0.2514361	0.99251366	9.502951	-9.34878	12.616682	12.536917	2606.4274768829346
55	-126.82536	66.88549	-1.6746093	-238.91464	-130.79768	61.031685	-0.5069208	-238.74753	200.0	200.0	219999	-12.662026	47.154755	5.729232	-293.45712	-12.662189	47.15396	5.629721	-291.67944	-0.24851833	1.0059344	9.127835	-8.03188	12.518159	12.351532	2649.6155710220337
56	-144.76756	70.51557	-1.5414101	-271.13052	-143.18991	89.95667	-0.33507273	-252.30798	200.0	200.0	223999	-12.469386	46.913345	5.4975224	-289.7073	-12.469801	46.913105	5.8102818	-290.03485	-0.24910331	1.0046864	9.956794	-9.72479	12.331837	12.692824	2693.1616315841675
57	-118.7771	93.358444	-1.246386	-312.78766	-141.84723	86.24663	-0.31392294	-244.54654	200.0	200.0	227999	-12.516309	46.956215	5.481898	-291.1836	-12.516181	46.95659	5.555257	-289.79193	-0.23767012	1.010258	9.283779	-7.9564476	12.357619	8.784316	2736.674328327179
58	-142.86624	85.59733	-1.874531	-307.63077	-163.78345	88.80996	-0.129251	-323.89636	200.0	200.0	231999	-12.244813	46.51294	5.5322647	-291.08508	-12.244735	46.512474	7.6706862	-291.35526	-0.25925532	0.98765785	10.760448	-7.749631	12.106746	12.765303	2780.5034894943237
59	-171.09807	79.9333	-2.067394	-309.0318	-120.81506	93.02655	-0.14069308	-244.28455	200.0	200.0	235999	-12.265044	46.630577	6.074619	-291.28842	-12.265129	46.62912	5.805471	-291.37912	-0.2608286	1.002034	9.742463	-7.9032335	12.131741	10.540676	2826.8582746982574
60	-150.94852	80.33376	-1.2826519	-305.54984	-109.973404	65.26777	-0.4521246	-243.77583	200.0	200.0	239999	-12.140499	46.491394	6.0543346	-293.30692	-12.1401415	46.490337	5.3029604	-293.1899	-0.2564338	0.99952203	10.237066	-8.95738	11.995594	9.123998	2871.835834503174
61	-143.23627	68.14511	-2.5964065	-240.0582	-153.75168	75.31924	-0.2823183	-242.21138	200.0	200.0	243999	-12.017583	46.103176	6.463307	-291.99677	-12.017875	46.102947	5.981894	-292.12613	-0.27191743	0.98626024	29.148125	-8.300345	11.881411	9.845332	2915.6577587127686
62	-157.83289	78.79103	-1.4204873	-286.1462	-129.09831	79.515434	-0.10537325	-232.49594	200.0	200.0	247999	-11.845986	45.853714	5.7046986	-296.2164	-11.846055	45.852474	5.355058	-294.42664	-0.271675	0.98766	11.041452	-11.545599	11.715915	9.532955	2959.4273042678833
63	-162.81197	91.02129	-1.1427845	-321.9161	-146.21378	73.74693	-0.11373867	-273.18283	200.0	200.0	251999	-11.791172	45.832764	5.54829	-291.0822	-11.791206	45.83324	5.391415	-291.35965	-0.26725858	0.9786573	9.944962	-9.6476145	11.666967	9.400106	3003.073494195938
64	-149.24875	61.35079	-2.4698617	-244.04872	-137.16171	91.14789	-0.8170877	-299.97827	200.0	200.0	255999	-11.621907	45.555355	5.7282395	-291.31	-11.621613	45.554775	5.563761	-292.44986	-0.27907312	0.97720623	11.844804	-7.9465055	11.498526	11.80023	3046.9049849510193
