Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
45	-419.2954	300.62073	-1.8025403	-1105.522	-175.28993	98.2551	-123.320206	-392.5012	200.0	200.0	179999	-16414.684	230978.67	-1.0164343	-146.15646	-16413.629	230963.83	-1.7792627	-146.24867	84.19026	1184.7917	2.7682836	-5.930983	81.51566	7.8250227	1492.9933860301971
46	-601.7196	440.89337	-1.0139382	-1191.2152	-636.44775	434.56033	-0.31222957	-1077.771	200.0	200.0	183999	-16846.285	237051.9	-2.7410886	-147.66762	-16845.059	237034.64	-2.397339	-148.55176	89.480736	1259.2334	2.7319913	-7.280318	83.54006	7.983223	1521.7319688796997
47	-280.38205	241.72948	-2.450898	-1113.6033	-618.7257	431.59113	-126.61533	-1107.4962	200.0	200.0	187999	-17282.451	243189.28	-2.075849	-150.74097	-17282.725	243193.16	-2.09378	-150.11694	87.60832	1232.8866	2.7320187	-5.5449014	85.945244	10.613673	1551.754503250122
48	-331.63214	333.34665	-1.6681606	-1176.1007	-388.86673	361.72534	-3.247434	-1124.1367	200.0	200.0	191999	-18147.676	255364.27	-0.6519662	-152.6849	-18153.916	255452.06	-0.2681985	-153.80176	102.95219	1448.7864	2.9538066	-6.906606	90.12741	15.490774	1582.2088332176208
49	-468.17798	417.1162	-1.8925276	-1223.5687	-696.4281	547.51135	-1.8595974	-1328.8021	200.0	200.0	195999	-17253.041	242775.7	-0.7458826	-159.72917	-17243.402	242640.05	-1.5861185	-158.1763	100.32341	1411.7955	2.9105587	-8.333757	85.784134	16.53222	1612.2067620754242
50	-386.05713	428.93393	-1.390229	-1226.6592	-458.04596	416.3748	-0.42863217	-1073.5568	200.0	200.0	199999	-17496.787	246205.53	-0.1558307	-162.90259	-17503.926	246305.98	-1.6182021	-159.2501	104.2079	1466.4539	2.8479462	-6.6465693	87.43321	17.713964	1647.7959487438202
51	-420.21527	481.49594	-1.4056528	-1361.1659	-514.47986	495.4318	-0.3457553	-1318.1724	200.0	200.0	203999	-17902.98	251921.28	1.7838628	-162.45831	-17908.8	252003.19	-0.45171443	-162.0093	107.62028	1514.4669	2.949788	-5.570014	89.26501	18.077566	1682.3594756126404
52	-298.13007	295.16467	-122.09287	-1153.239	-369.27826	377.20786	-1.1076467	-1131.9941	200.0	200.0	207999	-18408.389	259033.05	-1.810051	-164.83249	-18406.729	259009.69	-1.0112736	-165.8828	112.23572	1579.4105	2.8702722	-5.9608607	91.590515	22.795374	1725.8253901004791
53	-356.90305	363.29675	-1.3832135	-1241.4331	-494.4586	396.34128	-124.71871	-1050.2476	200.0	200.0	211999	-17151.418	241345.9	-2.3300543	-166.8193	-17151.965	241353.61	-0.8946442	-166.42116	99.02995	1393.5956	2.9186378	-8.1828165	85.35949	12.854776	1762.9272246360779
54	-463.25986	442.83035	-4.434349	-1288.8042	-235.30798	98.941414	-126.96218	-370.05096	200.0	200.0	215999	-17014.896	239424.8	-2.1490293	-167.69969	-17006.09	239300.88	-1.9393549	-168.84924	97.61822	1373.7332	2.9183002	-8.948865	84.805115	11.115202	1803.6917889118195
55	-176.89346	91.85894	-1.2410262	-258.0616	-176.74573	61.22799	-123.24794	-261.77234	200.0	200.0	219999	-17930.74	252312.0	-2.355764	-172.52232	-17927.334	252264.06	-1.9838182	-171.02348	106.46989	1498.2808	3.2567935	-7.9402423	89.36208	13.609665	1848.3609738349915
56	-284.27133	342.31216	-0.8727498	-1191.9772	-268.20187	323.8611	-0.76377994	-1202.3932	200.0	200.0	223999	-16254.602	228726.64	0.15566127	-176.04593	-16275.472	229020.31	-0.09954336	-175.22578	98.73891	1389.5016	3.3157046	-6.4312143	81.18125	27.23824	1891.8133583068848
57	-277.05875	227.68393	-122.71433	-1050.1525	-190.41426	85.065956	-0.5428006	-258.6708	200.0	200.0	227999	-16988.74	239056.8	-1.3390509	-173.70474	-16984.275	238993.95	-0.934878	-173.74048	99.90653	1405.932	3.1548412	-7.526508	84.49583	18.00563	1957.197190284729
58	-217.72266	111.49711	-1.0240636	-458.9518	-156.6243	85.94114	-0.7558636	-326.83395	200.0	200.0	231999	-17182.342	241781.2	-0.47064072	-176.85867	-17184.137	241806.47	0.116312504	-176.88954	108.03019	1520.2343	3.1820984	-6.8985476	85.35165	10.064097	2004.7325551509857
59	-182.17105	103.05931	-0.9094134	-363.4146	-222.63521	103.27142	-1.35402	-354.7975	200.0	200.0	235999	-16960.361	238657.48	-0.10589138	-183.6596	-16972.896	238833.89	-0.033337846	-180.55508	111.01123	1562.1809	3.8402061	-6.756195	84.54956	28.054373	2060.335240840912
60	-208.52434	107.34097	-0.76330376	-390.2477	-168.31096	105.30034	-0.20866302	-408.54382	200.0	200.0	239999	-19363.795	272477.2	-1.2528411	-183.46286	-19351.943	272310.4	-1.1212579	-181.42204	123.552246	1738.6415	3.5877666	-8.105259	96.33252	19.751081	2116.699955224991
61	-188.21005	114.21223	-0.61916	-513.61707	-155.12326	79.40695	-1.0369092	-285.03098	200.0	200.0	243999	-17646.076	248306.7	0.36950892	-184.05063	-17636.531	248172.4	0.18151459	-186.9869	112.43945	1582.2758	3.5052166	-6.7797976	87.78551	23.27386	2162.4594180583954
62	-213.1423	102.3681	-2.197946	-372.70062	-151.97952	74.74563	-0.19845285	-260.00446	200.0	200.0	247999	-17215.81	242252.23	1.334762	-188.36478	-17226.307	242399.94	0.3785593	-187.3854	117.54038	1654.0504	3.6752605	-6.5947413	85.572914	47.25094	2205.9700167179108
63	-218.953	97.71133	-1.2546371	-369.33035	-162.87611	97.680405	-0.7517143	-256.11087	200.0	200.0	251999	-18904.55	266015.28	1.0131764	-187.28894	-18903.469	266000.06	0.8541046	-187.28033	131.10233	1844.8752	3.4197946	-8.178138	93.78534	18.8689	2255.112486600876
64	-162.84312	95.918434	-0.73635226	-354.27353	-138.2392	85.79489	-0.56251925	-249.08855	200.0	200.0	255999	-16167.167	227496.75	-1.1207703	-188.8434	-16165.631	227475.12	-0.56661075	-189.19498	113.89883	1602.8064	4.395136	-7.692573	80.11973	9.83874	2295.7033948898315
65	-154.12964	90.69722	-0.46843812	-336.66446	-176.70584	81.92521	-2.616946	-257.84195	200.0	200.0	259999	-17506.559	246343.77	0.76130426	-191.72423	-17509.95	246391.48	1.6836756	-191.17542	126.15825	1775.3052	3.595525	-7.11081	86.670616	13.068934	2333.099679708481
66	-186.53946	95.60779	-0.7757656	-394.82382	-137.28261	102.758575	-0.4854517	-262.06516	200.0	200.0	263999	-16688.7	234835.58	0.27396867	-194.60202	-16686.645	234806.66	-0.1684295	-194.72105	125.74419	1769.4824	4.021942	-9.21671	82.61644	12.044813	2385.321915626526
